obcina,leto,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women
vodice,2000,32.6,40.1,24.1,17.9,21.5,13.6,82.1,78.5,86.4
vodice,2001,32.1,39.8,23.3,17.4,21.2,13,82.6,78.8,87
vodice,2002,31.8,38.7,24,17.1,20.3,13.5,82.9,79.7,86.5
vodice,2003,33.8,41.5,25,17.6,20.9,13.8,82.4,79.1,86.2
vodice,2004,32.6,39.8,24.3,17.2,21.2,12.6,82.8,78.8,87.4
vodice,2005,35.2,43.2,26.1,17.5,21,13.5,82.5,79,86.5
vodice,2006,37.3,45.7,27.7,17.9,21.3,14,82.1,78.7,86
vodice,2007,38.4,48.5,27,17.8,20.7,14.4,82.2,79.3,85.6
vodice,2008,38.7,48,27.9,18.2,22.1,13.7,81.8,77.9,86.3
vodice,2009,38.9,48.5,28.2,18.5,22.8,13.5,81.5,77.2,86.5
vodice,2010,40.5,51.6,28,19.1,24.1,13.6,80.9,75.9,86.4
vodice,2011,39.4,50.1,27.4,19.4,24.2,14,80.6,75.8,86
vodice,2012,40.3,51.3,28.3,19.4,24,14.3,80.6,76,85.7
vodice,2013,40.1,51.7,27.3,20.1,25.1,14.5,79.9,74.9,85.5
vodice,2014,41.6,53.4,28.4,20.2,25.5,14.3,79.8,74.5,85.7
vodice,2015,42.8,54.9,29.2,20.9,25.4,15.8,79.1,74.6,84.2
vodice,2016,43.2,55,29.9,21.2,26.5,15.4,78.8,73.5,84.6
vodice,2017,44.9,56.5,31.7,21.9,26.8,16.2,78.1,73.2,83.8
vodice,2018,44.6,56.1,31.4,21.5,26.6,15.5,78.5,73.4,84.5
vodice,2019,47.3,59.3,34,19.2,22.9,15.1,80.8,77.1,84.9
vodice,2020,48,61,33.8,18.9,21.7,15.8,81.1,78.3,84.2
vodice,2021,47.4,57.9,36,18.9,21.4,16.3,81.1,78.6,83.7
vodice,2022,47.3,56.6,36.8,19.2,22.2,15.8,80.8,77.8,84.2
vodice,2023,44.9,54.1,34.6,18.7,22,14.9,81.3,78,85.1
vodice,2024,45.3,53.2,36.1,18.6,22.4,14.2,81.4,77.6,85.8
vojnik,2000,39.1,38.9,39.5,19.4,20.5,18.1,80.6,79.5,81.9
vojnik,2001,36.8,36.4,37.2,18.6,20,16.7,81.4,80,83.3
vojnik,2002,36.5,36.2,36.8,18.2,19.3,16.7,81.8,80.7,83.3
vojnik,2003,39.2,38.1,40.6,18.7,19.5,17.6,81.3,80.5,82.4
vojnik,2004,40.8,38.6,43.7,18.8,19.7,17.5,81.2,80.3,82.5
vojnik,2005,38.8,36.3,42.2,18.6,19.5,17.2,81.4,80.5,82.8
vojnik,2006,39.8,36.5,44.1,18.9,19.7,17.8,81.1,80.3,82.2
vojnik,2007,45.3,43.5,47.7,19,20.3,17.3,81,79.7,82.7
vojnik,2008,46.9,46.5,47.5,19.2,20.4,17.6,80.8,79.6,82.4
vojnik,2009,47.8,47.2,48.5,20,21.3,18.4,80,78.7,81.6
vojnik,2010,48,48.4,47.5,20.1,21,18.9,79.9,79,81.1
vojnik,2011,48.6,50.9,45.7,20,21.2,18.5,80,78.8,81.5
vojnik,2012,50.4,53.3,47,20.6,22.1,18.7,79.4,77.9,81.3
vojnik,2013,51.2,54.2,47.6,20.8,22.4,19,79.2,77.6,81
vojnik,2014,53.4,56.4,49.6,21.4,22.9,19.5,78.6,77.1,80.5
vojnik,2015,53.6,57,49.4,21.4,23,19.4,78.6,77,80.6
vojnik,2016,52.6,54.6,50.2,21.6,23,20,78.4,77,80
vojnik,2017,53.4,56.7,49.6,21.4,23.2,19.2,78.6,76.8,80.8
vojnik,2018,52.3,54,50.1,21.1,23,18.9,78.9,77,81.1
vojnik,2019,52.2,53.4,50.7,20.6,21.8,19.1,79.4,78.2,80.9
vojnik,2020,54.8,55.9,53.5,20.1,21.2,18.7,79.9,78.8,81.3
vojnik,2021,55.4,57.1,53.3,21,22.3,19.3,79.1,77.7,80.7
vojnik,2022,55.1,56.5,53.5,21.3,22.7,19.5,78.7,77.3,80.5
vojnik,2023,51,51.3,50.7,21,22.4,19.4,79,77.6,80.6
vojnik,2024,50.4,51.5,49.1,20.8,22.4,19,79.2,77.6,81
vransko,2000,58.5,55.6,61.9,29.9,27.7,32.4,70.1,72.3,67.6
vransko,2001,59.8,57.9,62,31.5,29.9,33.4,68.5,70.1,66.6
vransko,2002,58.9,54.5,64.3,30.5,27.4,34.3,69.5,72.6,65.7
vransko,2003,63.2,61.7,64.9,32.6,31.1,34.5,67.4,68.9,65.5
vransko,2004,57.1,46.5,69.5,30.3,26.5,34.9,69.7,73.5,65.1
vransko,2005,58.7,46.8,73,28.8,25.6,32.7,71.2,74.4,67.3
vransko,2006,65.7,57,76.3,28.4,25.2,32.3,71.6,74.8,67.7
vransko,2007,65.1,57.9,73.9,28.3,25,32.4,71.7,75,67.6
vransko,2008,59.3,51.3,69.2,27.9,24.2,32.5,72.1,75.8,67.5
vransko,2009,61.4,54.1,69.5,28.2,24.7,32.2,71.8,75.3,67.8
vransko,2010,61.9,56.1,68.5,27.3,24.6,30.5,72.7,75.4,69.5
vransko,2011,62.7,59.4,66.5,25.6,25.3,25.9,74.4,74.7,74.1
vransko,2012,64.4,63.1,65.9,26.4,26.2,26.7,73.6,73.8,73.3
vransko,2013,56.2,46.9,65.9,23.8,19.6,28.3,76.2,80.4,71.7
vransko,2014,56.5,49.3,64,22.6,18.9,26.5,77.4,81.1,73.5
vransko,2015,59,53.5,64.9,22.6,19.6,25.8,77.4,80.4,74.2
vransko,2016,59.5,57.8,61.3,21.7,18.9,24.6,78.3,81.1,75.4
vransko,2017,58.6,57.1,60.3,20.4,17.5,23.5,79.6,82.5,76.5
vransko,2018,60.3,61,59.6,19.9,17.1,22.8,80.1,82.9,77.2
vransko,2019,59.9,60.8,59.1,19.8,17.4,22.2,80.2,82.6,77.8
vransko,2020,57.7,58.2,57.1,20.2,19,21.5,79.8,81,78.5
vransko,2021,57.4,58.6,56,19.7,17.9,21.6,80.3,82.1,78.4
vransko,2022,61.2,63.9,58.1,20.1,18.2,22.3,79.9,81.8,77.7
vransko,2023,59.6,64,54.7,18.3,17.5,19.1,81.7,82.5,80.9
vransko,2024,58.9,63.3,54.2,18.1,17.6,18.6,81.9,82.4,81.4
vrhnika,2000,73,76.7,68.7,41.8,42.4,41,58.2,57.6,59
vrhnika,2001,69.1,70.9,67.1,40.5,41.3,39.7,59.5,58.7,60.3
vrhnika,2002,67.6,69,66.1,40,40.6,39.2,60,59.4,60.8
vrhnika,2003,66.2,67.6,64.5,38.8,38.9,38.6,61.2,61.1,61.4
vrhnika,2004,65.4,68.1,62.2,37.3,38.1,36.3,62.7,61.9,63.7
vrhnika,2005,65.7,68,63,36.5,37.6,35.2,63.5,62.4,64.8
vrhnika,2006,65.4,68.2,62,35.8,36.9,34.6,64.2,63.1,65.4
vrhnika,2007,69.4,70,68.7,37,37.5,36.4,63,62.5,63.6
vrhnika,2008,65.4,66.1,64.5,35.5,36.6,34.1,64.5,63.4,65.9
vrhnika,2009,57.6,60.6,54,31.1,33.4,28.4,68.9,66.6,71.6
vrhnika,2010,57.4,60.1,54.2,30.6,32.7,28,69.4,67.3,72
vrhnika,2011,56.2,57.9,54.3,29.9,32,27.5,70.1,68,72.5
vrhnika,2012,54.2,56,52.1,28.9,31.2,26.2,71.1,68.8,73.8
vrhnika,2013,58.3,62.2,53.7,29.9,32.3,27.1,70.1,67.7,72.9
vrhnika,2014,56.9,58.9,54.6,29.7,31.4,27.7,70.3,68.6,72.3
vrhnika,2015,56.8,58.6,54.8,29.4,30.9,27.7,70.6,69.1,72.3
vrhnika,2016,57.7,59.6,55.6,30,31.8,28,70,68.2,72
vrhnika,2017,57.1,59.6,54.3,29.7,31.9,27.2,70.3,68.1,72.8
vrhnika,2018,58,61.4,54.1,29.4,31.6,26.9,70.6,68.4,73.1
vrhnika,2019,58.5,62.2,54.2,29.2,31.5,26.5,70.8,68.5,73.5
vrhnika,2020,59.4,64.1,54,28.9,31,26.4,71.1,69,73.6
vrhnika,2021,59,62.7,54.6,28.8,30.3,27,71.2,69.7,73
vrhnika,2022,60.1,64.3,55.1,29.4,31.2,27.4,70.6,68.8,72.6
vrhnika,2023,60.1,64.5,54.9,29.4,31.4,27.1,70.6,68.6,72.9
vrhnika,2024,59.7,63.3,55.3,29.2,30.7,27.4,70.8,69.3,72.6
vuzenica,2000,67.5,78.3,53.7,30.2,33.4,26.1,69.8,66.6,73.9
vuzenica,2001,64.4,76,49.7,29.7,33,25.5,70.3,67,74.5
vuzenica,2002,64.4,75.6,49.4,29.8,33.7,24.6,70.2,66.3,75.4
vuzenica,2003,62.1,75.3,44.4,28.3,32.1,23.2,71.7,67.9,76.8
vuzenica,2004,61.3,73.1,45.6,26.9,30,22.8,73.1,70,77.2
vuzenica,2005,66.7,74.3,56.1,27.6,29.8,24.6,72.4,70.2,75.4
vuzenica,2006,66.4,72.4,58,27.8,29.6,25.2,72.2,70.4,74.8
vuzenica,2007,68.6,74.5,60.4,27.5,29.8,24.4,72.5,70.2,75.6
vuzenica,2008,65.7,71.5,57.7,27.2,29.9,23.4,72.8,70.1,76.6
vuzenica,2009,62.3,67.5,55.2,27.8,30.8,23.6,72.2,69.2,76.4
vuzenica,2010,63,67.6,56.5,27.7,29.7,24.8,72.3,70.3,75.2
vuzenica,2011,61.2,66.8,53.5,27.4,29.1,24.9,72.6,70.9,75.1
vuzenica,2012,61.4,66.3,54.8,27.9,29.6,25.7,72.1,70.4,74.3
vuzenica,2013,60.6,65.5,53.9,27.7,28.6,26.5,72.3,71.4,73.5
vuzenica,2014,68,73.9,60,28.4,30.2,25.9,71.6,69.8,74.1
vuzenica,2015,33.5,35.2,31.2,20.3,21.1,19.3,79.7,78.9,80.7
vuzenica,2016,35.1,37.6,32,21.4,22.3,20.3,78.6,77.7,79.7
vuzenica,2017,35.3,38.5,31.7,21,22.7,19.1,79,77.3,80.9
vuzenica,2018,35.7,38.9,32,20.8,22.7,18.6,79.2,77.3,81.4
vuzenica,2019,38.4,42.7,33.5,21.1,23.4,18.5,78.9,76.6,81.5
vuzenica,2020,38.1,42.6,33,21.9,24,19.5,78.1,76,80.5
vuzenica,2021,40.3,45.3,34.6,21.4,23.2,19.4,78.6,76.8,80.6
vuzenica,2022,40.7,45.2,35.7,22.1,23.4,20.7,77.9,76.6,79.3
vuzenica,2023,41.4,47.7,34.3,22,24.2,19.4,78,75.8,80.6
vuzenica,2024,41.8,48.6,34.7,22.7,25.1,20.2,77.3,74.9,79.8
zagorje ob savi,2000,72.1,64.9,80.7,58.6,54,64.1,41.4,46,35.9
zagorje ob savi,2001,72.3,66.5,79.2,57.8,53.5,62.8,42.2,46.5,37.2
zagorje ob savi,2002,71.8,66.7,77.9,55.8,52.3,60,44.2,47.7,40
zagorje ob savi,2003,72.4,67.7,78.2,55.2,52,59.1,44.8,48,40.9
zagorje ob savi,2004,71.8,67.7,77,54.4,51.4,58,45.6,48.6,42
zagorje ob savi,2005,71.3,66.9,76.8,53,50.4,56.3,47,49.6,43.7
zagorje ob savi,2006,71,66.7,76.4,52.3,49.8,55.5,47.7,50.2,44.5
zagorje ob savi,2007,72.5,68,77.9,51.5,49,54.7,48.5,51,45.3
zagorje ob savi,2008,71.5,67.6,76.2,50.2,48.3,52.6,49.8,51.7,47.4
zagorje ob savi,2009,69.1,65.2,73.9,49,47.2,51.1,51,52.8,48.9
zagorje ob savi,2010,70.2,66.9,74.1,47.7,46.5,49,52.3,53.5,51
zagorje ob savi,2011,71.1,67.9,74.8,47.1,46,48.4,52.9,54,51.6
zagorje ob savi,2012,67,64.5,69.8,46.9,46.1,47.8,53.1,53.9,52.2
zagorje ob savi,2013,66.1,62.7,69.9,46.2,44.9,47.6,53.8,55.1,52.4
zagorje ob savi,2014,64,60.4,67.9,44.9,43.3,46.7,55.1,56.7,53.3
zagorje ob savi,2015,62.6,59.6,65.9,44.3,42.3,46.6,55.7,57.7,53.4
zagorje ob savi,2016,60.8,57.3,64.5,42.7,40.5,45.1,57.3,59.5,54.9
zagorje ob savi,2017,60.3,57.3,63.5,41.7,40,43.5,58.3,60,56.5
zagorje ob savi,2018,60.3,56.5,64.6,41.3,39,43.8,58.7,61,56.2
zagorje ob savi,2019,60.1,56.9,63.8,40.6,38.8,42.8,59.4,61.2,57.2
zagorje ob savi,2020,61.2,57.8,65.2,39.2,36.9,41.9,60.8,63.1,58.1
zagorje ob savi,2021,61.9,58.8,65.5,38.5,36.7,40.6,61.5,63.3,59.4
zagorje ob savi,2022,61.2,57.7,65.3,38.9,36.8,41.3,61.1,63.2,58.7
zagorje ob savi,2023,60.2,57.5,63.3,37.9,36.2,39.9,62.1,63.8,60.1
zagorje ob savi,2024,61.2,58.4,64.4,37.4,35.6,39.5,62.6,64.4,60.5
zavrč,2000,52.6,57.6,43.7,16.1,15.2,17.8,83.9,84.8,82.2
zavrč,2001,61.3,72.9,41.1,15.5,14.6,17,84.5,85.4,83
zavrč,2002,36.9,40.3,31,11.5,11.6,11.4,88.5,88.4,88.6
zavrč,2003,28.4,33.6,19.8,10.1,9.6,10.8,89.9,90.4,89.2
zavrč,2004,22.4,26.2,16.5,9.9,9.9,9.9,90.1,90.1,90.1
zavrč,2005,21.5,24.3,16.6,10,9.5,10.9,90,90.5,89.1
zavrč,2006,21.1,24.8,14.7,8.2,7.8,8.7,91.8,92.2,91.3
zavrč,2007,25.9,31.4,16.7,7.5,6.9,8.6,92.5,93.1,91.4
zavrč,2008,26,31.2,17.2,7.8,6.8,9.6,92.2,93.2,90.4
zavrč,2009,27.6,32.2,19.4,8.8,7.7,10.7,91.2,92.3,89.3
zavrč,2010,25.3,29.7,18.8,8.8,7.5,10.6,91.2,92.5,89.4
zavrč,2011,30.1,36.2,21.5,11,9.8,12.8,89,90.2,87.2
zavrč,2012,26.8,31.6,20.4,12.2,11.3,13.4,87.8,88.7,86.6
zavrč,2013,29.4,34.4,22.3,13.9,14.3,13.5,86.1,85.7,86.5
zavrč,2014,29.9,36.2,19.6,12.7,14.4,9.8,87.3,85.6,90.2
zavrč,2015,35.9,46.3,20.2,13.9,15.2,11.8,86.1,84.8,88.2
zavrč,2016,26.6,30.3,20.4,11.3,11.1,11.7,88.7,88.9,88.3
zavrč,2017,32,38,20,15,16.7,11.6,85,83.3,88.4
zavrč,2018,45,59.1,19.5,17.5,21.2,10.9,82.5,78.8,89.1
zavrč,2019,35.4,44.9,19.9,13.5,15.3,10.6,86.5,84.7,89.4
zavrč,2020,31,33.4,27.1,10.9,9.2,13.8,89.1,90.8,86.2
zavrč,2021,35.7,43.4,23.9,12.8,13.3,12,87.2,86.7,88
zavrč,2022,34.6,40.1,26.6,14.7,14.9,14.5,85.3,85.1,85.5
zavrč,2023,31,35.4,24.3,14.3,14.2,14.3,85.7,85.8,85.7
zavrč,2024,38.9,48.1,23,16.6,17.9,14.5,83.4,82.1,85.5
zreče,2000,153.6,167.6,136.5,67.3,70.1,63.8,32.7,29.9,36.2
zreče,2001,155.8,169.6,139,66.8,70.1,62.8,33.2,29.9,37.2
zreče,2002,155,169.1,138.1,66.7,70.4,62.3,33.3,29.6,37.7
zreče,2003,157.3,170.6,141.2,66.7,69.4,63.4,33.3,30.6,36.6
zreče,2004,159,171.1,144.1,65.7,67.9,62.9,34.3,32.1,37.1
zreče,2005,160,174.5,142.3,64.8,67.2,62,35.2,32.8,38
zreče,2006,157.9,169.3,143.6,63.3,66,60,36.7,34,40
zreče,2007,152.4,156.5,146.8,61.3,62.8,59.3,38.7,37.2,40.7
zreče,2008,152.6,158.4,144.8,61.5,63.4,58.9,38.5,36.6,41.1
zreče,2009,152,162.4,138.5,60.3,63.6,56,39.7,36.4,44
zreče,2010,147.9,159.1,133.5,57.7,62,52.1,42.3,38,47.9
zreče,2011,150.8,163.3,134.8,57.4,61.5,52.2,42.6,38.5,47.8
zreče,2012,151.4,162.4,137.1,56.8,60.6,51.7,43.2,39.4,48.3
zreče,2013,160.1,174.1,141.9,56.8,61.5,50.5,43.2,38.5,49.5
zreče,2014,157.6,169.3,142.1,55.4,59.5,50,44.6,40.5,50
zreče,2015,159.4,174.4,139.9,55.1,59.8,49,44.9,40.2,51
zreče,2016,158.4,174.8,137.7,53.8,58.8,47.5,46.2,41.2,52.5
zreče,2017,159.5,172.1,143.1,52.9,56.9,47.7,47.1,43.1,52.3
zreče,2018,154.5,168,136.9,51.8,56,46.3,48.2,44,53.7
zreče,2019,149.9,164.5,130.7,51,55.7,44.8,49,44.3,55.2
zreče,2020,144.1,160,123.6,48.1,52.6,42.2,51.9,47.4,57.8
zreče,2021,140.9,158.4,118.5,46.7,51.4,40.6,53.3,48.6,59.4
zreče,2022,136.4,153.4,114.7,46.6,51.2,40.8,53.4,48.8,59.2
zreče,2023,131.7,143.6,116.4,46.1,50.4,40.5,53.9,49.6,59.5
zreče,2024,126.1,140.3,108.2,43.9,48.8,37.8,56.1,51.2,62.2
črenšovci,2000,42.4,48.3,35.9,26.8,30.5,22.6,73.2,69.5,77.4
črenšovci,2001,41.5,46.6,35.7,26.5,30.1,22.5,73.5,69.9,77.5
črenšovci,2002,42.5,47,37.1,26.5,29.6,22.8,73.5,70.4,77.2
črenšovci,2003,41.2,45.2,36.5,25.3,27.9,22.2,74.7,72.1,77.8
črenšovci,2004,43.5,45.3,41.2,26.4,28.5,23.7,73.6,71.5,76.3
črenšovci,2005,47,50.7,42.3,26.3,27.9,24.4,73.7,72.1,75.6
črenšovci,2006,49.9,50.5,49,27.7,29.2,25.6,72.3,70.8,74.4
črenšovci,2007,50,53.2,46.1,25.8,27,24.2,74.2,73,75.8
črenšovci,2008,51.4,56.3,45.2,25,27,22.5,75,73,77.5
črenšovci,2009,60.2,70.5,46.2,28.2,30.9,24.5,71.8,69.1,75.5
črenšovci,2010,58.3,68.7,44.3,25.6,28.3,22.1,74.4,71.7,77.9
črenšovci,2011,52.7,60,43.3,24.1,26.2,21.3,75.9,73.8,78.7
črenšovci,2012,46.6,50.5,41.7,23.9,25.8,21.5,76.1,74.2,78.5
črenšovci,2013,48.3,50.6,45.3,24.9,25.8,23.8,75.1,74.2,76.2
črenšovci,2014,50.9,53.1,48.1,26.7,28,25,73.3,72,75
črenšovci,2015,44.6,51.9,36.2,23.8,26,21.4,76.2,74,78.6
črenšovci,2016,44,49.9,37.3,23.7,25.4,21.7,76.3,74.6,78.3
črenšovci,2017,42.6,47.6,37,22.4,23.6,20.9,77.6,76.4,79.1
črenšovci,2018,41.4,46.5,35.4,22,23.4,20.5,78,76.6,79.5
črenšovci,2019,43.7,49.6,36.7,22.9,24.5,21,77.1,75.5,79
črenšovci,2020,41.2,44.5,37,22.7,24.5,20.5,77.3,75.5,79.5
črenšovci,2021,39.7,44.6,34,21.1,23.5,18.2,78.9,76.5,81.8
črenšovci,2022,37.4,41.3,32.6,19.7,22.3,16.6,80.3,77.7,83.4
črenšovci,2023,37.5,41.6,32.8,20.5,22.1,18.6,79.5,77.9,81.4
črenšovci,2024,37.9,41.9,33.2,20.1,22.2,17.6,79.9,77.8,82.4
črna na koroškem,2000,58.7,53.6,65.1,31.8,27.1,37.6,68.2,72.9,62.4
črna na koroškem,2001,50.9,46.9,55.8,30,25.9,35.2,70,74.1,64.8
črna na koroškem,2002,51.8,47.9,56.8,30.7,27.1,35.4,69.3,72.9,64.6
črna na koroškem,2003,50.8,45.1,58.4,30.5,26,36.5,69.5,74,63.5
črna na koroškem,2004,55.3,54.1,56.8,32.4,28.8,37,67.6,71.2,63
črna na koroškem,2005,57.5,56.1,59.3,32.1,27.2,38.4,67.9,72.8,61.6
črna na koroškem,2006,59.1,57,61.9,32.3,27.8,38.2,67.7,72.2,61.8
črna na koroškem,2007,50.8,44.7,58.5,30.5,25.8,36.2,69.5,74.2,63.8
črna na koroškem,2008,50.9,43.5,60.3,30.9,25.6,37.6,69.1,74.4,62.4
črna na koroškem,2009,55,47.8,63.7,33.1,26.6,40.9,66.9,73.4,59.1
črna na koroškem,2010,56.7,47.1,69.1,33.8,26.4,43.3,66.2,73.6,56.7
črna na koroškem,2011,56.4,46,70,33.1,25.3,43.2,66.9,74.7,56.8
črna na koroškem,2012,57.4,46,72.3,32.9,25.2,43,67.1,74.8,57
črna na koroškem,2013,56.4,43.7,72.8,31.4,22.4,43.1,68.6,77.6,56.9
črna na koroškem,2014,57.5,45.7,72.1,30.8,21.8,41.9,69.2,78.2,58.1
črna na koroškem,2015,56.7,45.7,70.7,30.3,22,40.8,69.7,78,59.2
črna na koroškem,2016,57.8,45.8,72.6,29.3,20.7,40,70.7,79.3,60
črna na koroškem,2017,56.3,45.4,69.3,28.3,20.3,37.8,71.7,79.7,62.2
črna na koroškem,2018,56.4,47.9,66.4,27.9,20.9,36.2,72.1,79.1,63.8
črna na koroškem,2019,56,46.8,66.6,27.4,19.6,36.3,72.6,80.4,63.7
črna na koroškem,2020,58.3,46.2,72,28.3,20.5,37.3,71.7,79.5,62.7
črna na koroškem,2021,56.9,45.1,70.2,28.2,20.6,36.9,71.8,79.4,63.1
črna na koroškem,2022,56.4,43.6,71.3,27.6,19.9,36.7,72.4,80.1,63.3
črna na koroškem,2023,59.6,46.6,74.4,29.2,21.7,37.7,70.8,78.3,62.3
črna na koroškem,2024,62.5,48.9,77.2,29.7,22.4,37.7,70.3,77.6,62.3
črnomelj,2000,88.4,93.8,82.1,72.2,74.6,69.3,27.8,25.4,30.7
črnomelj,2001,89.1,95.7,81.2,72.2,75.9,67.8,27.8,24.1,32.2
črnomelj,2002,91.7,97.7,84.3,72.1,75.9,67.6,27.9,24.1,32.4
črnomelj,2003,89.6,96.5,81.1,70.7,74.9,65.5,29.3,25.1,34.5
črnomelj,2004,87.5,93.2,80.3,68.6,72.1,64.3,31.4,27.9,35.7
črnomelj,2005,84.8,91.8,75.4,66.4,70.5,61,33.6,29.5,39
črnomelj,2006,82.8,90.2,73,64.8,68.9,59.4,35.2,31.1,40.6
črnomelj,2007,82.5,88.4,74.6,63.6,66.1,60.3,36.4,33.9,39.7
črnomelj,2008,81.4,86.4,74.6,63.2,65.6,59.9,36.8,34.4,40.1
črnomelj,2009,77.2,79.8,73.7,60.6,61.3,59.7,39.4,38.7,40.3
črnomelj,2010,77.1,78.9,74.8,59.9,59.8,60.2,40.1,40.2,39.8
črnomelj,2011,79,79.7,78.1,60.5,59.6,61.6,39.5,40.4,38.4
črnomelj,2012,74.4,72.9,76.3,56.9,54.2,60.4,43.1,45.8,39.6
črnomelj,2013,75.5,73.9,77.5,57.4,55.1,60.6,42.6,44.9,39.4
črnomelj,2014,70.8,68.2,74.4,52.5,49.2,57.2,47.5,50.8,42.8
črnomelj,2015,70.4,67.7,73.8,52.2,49.1,56.4,47.8,50.9,43.6
črnomelj,2016,69,66.8,72,51.4,48,55.9,48.6,52,44.1
črnomelj,2017,68.8,67.1,71,49.5,45.9,54.3,50.5,54.1,45.7
črnomelj,2018,67.4,65.9,69.4,49.5,46.7,53.1,50.5,53.3,46.9
črnomelj,2019,73.1,74,72.1,51.1,49,53.7,48.9,51,46.3
črnomelj,2020,73.9,74.3,73.4,51.5,49.7,53.8,48.5,50.3,46.2
črnomelj,2021,75.7,76.8,74.4,52.6,51.3,54.1,47.4,48.7,45.9
črnomelj,2022,77.7,79.4,75.6,52.7,51.6,54,47.3,48.4,46
črnomelj,2023,79.5,79.7,79.1,53.2,52.1,54.4,46.8,47.9,45.6
črnomelj,2024,77.2,79.1,74.9,53.5,52.3,54.9,46.5,47.7,45.1
šalovci,2000,18.8,13.4,25.4,13.2,8.3,19.2,86.8,91.7,80.8
šalovci,2001,20.4,15.6,25.7,14,9.3,19.3,86,90.7,80.7
šalovci,2002,20.7,15.4,26.5,14.1,9,19.9,85.9,91,80.1
šalovci,2003,21.5,15.6,28.1,14.1,10,18.9,85.9,90,81.1
šalovci,2004,21.1,16.3,26.8,13.6,10.2,17.5,86.4,89.8,82.5
šalovci,2005,21.8,15.9,29.3,14.5,10.9,19,85.5,89.1,81
šalovci,2006,23,17.3,30,16.5,12.9,21.1,83.5,87.1,78.9
šalovci,2007,22.5,16.2,30.7,15.3,11.8,19.9,84.7,88.2,80.1
šalovci,2008,25.8,21.4,32.3,16.8,14.7,19.9,83.2,85.3,80.1
šalovci,2009,29.9,26.5,34.6,17.9,16.1,20.3,82.1,83.9,79.7
šalovci,2010,30.4,27.5,34.4,19,18.5,19.7,81,81.5,80.3
šalovci,2011,32.5,28.9,37.3,17.6,17.6,17.6,82.4,82.4,82.4
šalovci,2012,33,31.5,34.8,18.6,19.8,17.1,81.4,80.2,82.9
šalovci,2013,32,30.9,33.3,18.9,20.3,17,81.1,79.7,83
šalovci,2014,35.1,33,37.6,20,20.5,19.4,80,79.5,80.6
šalovci,2015,35.8,32.2,40.5,21,21.2,20.9,79,78.8,79.1
šalovci,2016,35.3,29.7,43.2,18.6,19.8,16.8,81.4,80.2,83.2
šalovci,2017,31.3,27.1,36.7,15.7,15.6,15.8,84.3,84.4,84.2
šalovci,2018,29.8,24.3,37.1,16.5,15.7,17.6,83.5,84.3,82.4
šalovci,2019,30.8,24.3,39.2,15.8,15.7,15.9,84.2,84.3,84.1
šalovci,2020,31.1,24.6,39.2,16.5,14.7,18.8,83.5,85.3,81.2
šalovci,2021,43.9,34.9,54.8,17,16.6,17.6,83,83.4,82.4
šalovci,2022,41.6,31.6,54.4,14.7,15,14.4,85.3,85,85.6
šalovci,2023,43.7,32.8,56.7,14.4,14.5,14.3,85.6,85.5,85.7
šalovci,2024,44.4,34,57.2,15.2,15.4,14.9,84.8,84.6,85.1
šempeter - vrtojba,2000,184.9,188.8,180.8,36.3,38.4,34,63.7,61.6,66
šempeter - vrtojba,2001,191.6,196.5,186,37,40.2,33.5,63,59.8,66.5
šempeter - vrtojba,2002,190.6,196,184.7,37.4,40.1,34.4,62.6,59.9,65.6
šempeter - vrtojba,2003,192.3,199.6,184.1,38.1,40.8,35.1,61.9,59.2,64.9
šempeter - vrtojba,2004,186.3,194.7,176.8,37.8,40.4,34.9,62.2,59.6,65.1
šempeter - vrtojba,2005,186.2,195.3,176.1,37.1,39,34.9,62.9,61,65.1
šempeter - vrtojba,2006,187,187.5,186.4,36.7,38.4,34.8,63.3,61.6,65.2
šempeter - vrtojba,2007,187.6,187.7,187.5,36.3,39,33.1,63.7,61,66.9
šempeter - vrtojba,2008,184.1,185.8,182.1,36.1,39.3,32.1,63.9,60.7,67.9
šempeter - vrtojba,2009,175.2,178.1,171.6,34.8,36.7,32.5,65.2,63.3,67.5
šempeter - vrtojba,2010,188.5,194.5,181.5,34.7,37.4,31.5,65.3,62.6,68.5
šempeter - vrtojba,2011,192.6,200,184.1,34.3,37.1,31,65.7,62.9,69
šempeter - vrtojba,2012,191.8,200.7,181.6,36.2,39.6,32.3,63.8,60.4,67.7
šempeter - vrtojba,2013,194.6,202.6,185.5,37.1,40.5,33.1,62.9,59.5,66.9
šempeter - vrtojba,2014,195.1,202.1,187,35.5,39.1,31.2,64.5,60.9,68.8
šempeter - vrtojba,2015,192.8,201,183.3,35.6,38.8,31.8,64.4,61.2,68.2
šempeter - vrtojba,2016,199.2,209,187.7,36.3,39.4,32.7,63.7,60.6,67.3
šempeter - vrtojba,2017,214.2,229.8,195.8,36.8,40.3,32.6,63.2,59.7,67.4
