obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income"
grad,2017,7545.92,5279.72,524.91,1663.59,77.7
grad,2018,7988.01,5594.46,583.44,1732.27,77.83
grad,2019,8349.74,5786.35,669.61,1812.08,81.7
grad,2020,9699.93,6800.44,z,2069.89,z
grad,2021,10045.91,7054.32,685.81,2220.53,85.26
grad,2022,11087.17,7897.37,712.28,2400.37,77.15
grad,2023,12592.88,9079.4,759.13,2560.4,193.96
grosuplje,2014,11951.77,8971.47,560.71,1871.43,548.16
grosuplje,2015,12059.26,9083.37,577.38,1883.11,515.4
grosuplje,2016,12720.78,9567.9,575.85,1886.12,690.9
grosuplje,2017,12933.38,9998.44,594.22,1900.52,440.2
grosuplje,2018,13662.65,10619.14,601.85,1942.22,499.45
grosuplje,2019,14488.91,11264.4,645.4,2006.67,572.43
grosuplje,2020,14695.83,11370.01,705.49,2142.25,478.08
grosuplje,2021,16629.28,12286.41,z,2297.66,z
grosuplje,2022,17352.08,13294.79,740.53,2483.21,833.55
grosuplje,2023,19203.01,14922.78,805.59,2620,854.64
hajdina,2014,9851.51,7220.75,516.25,1875.04,239.47
hajdina,2015,10205.75,7569.14,509.8,1920.73,206.07
hajdina,2016,10617.63,7870.85,507.93,2004.97,233.88
hajdina,2017,10960.65,8152.59,528.56,2077.79,201.71
hajdina,2018,11796.84,8795.03,544.19,2138.17,319.45
hajdina,2019,12547.07,9547.46,551.39,2174.78,273.45
hajdina,2020,12737.47,9528.81,634.54,2354.51,219.61
hajdina,2021,13916.21,10551.68,644.41,2496.04,224.09
hajdina,2022,15080.81,11274.68,690.41,2658.75,456.96
